product_id,image_url,sort_order
10191,https://storage.yandexcloud.net/mysakura/172585676237_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,6
10191,https://storage.yandexcloud.net/mysakura/174596967593_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,7
10191,https://storage.yandexcloud.net/mysakura/174711188413_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,8
10191,https://storage.yandexcloud.net/mysakura/6718915e7b853384011603_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,9
10223,https://storage.yandexcloud.net/mysakura/161121243625_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,0
10223,https://storage.yandexcloud.net/mysakura/161154684736_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,1
10223,https://storage.yandexcloud.net/mysakura/167461801882_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,2
10223,https://storage.yandexcloud.net/mysakura/169448372061_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,3
10223,https://storage.yandexcloud.net/mysakura/170633910132_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,4
10223,https://storage.yandexcloud.net/mysakura/172163564462_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,5
10223,https://storage.yandexcloud.net/mysakura/172318184714_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,6
10223,https://storage.yandexcloud.net/mysakura/172947854796_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,7
10223,https://storage.yandexcloud.net/mysakura/173741650258_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,8
10223,https://storage.yandexcloud.net/mysakura/175731443885_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,9
11024,https://storage.yandexcloud.net/mysakura/171195514694_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,0
11024,https://storage.yandexcloud.net/mysakura/172413502931_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,1
